Kategori: Alla kategorier;
;
Dag;S&P 500: (Över hela världen)
2023-11-17;72
2023-11-18;28
2023-11-19;22
2023-11-20;70
2023-11-21;72
2023-11-22;69
2023-11-23;43
2023-11-24;51
2023-11-25;26
2023-11-26;23
2023-11-27;65
2023-11-28;69
2023-11-29;69
2023-11-30;69
2023-12-01;75
2023-12-02;31
2023-12-03;25
2023-12-04;70
2023-12-05;71
2023-12-06;67
2023-12-07;70
2023-12-08;80
2023-12-09;29
2023-12-10;26
2023-12-11;71
2023-12-12;75
2023-12-13;86
2023-12-14;95
2023-12-15;82
2023-12-16;29
2023-12-17;26
2023-12-18;74
2023-12-19;85
2023-12-20;90
2023-12-21;88
2023-12-22;78
2023-12-23;32
2023-12-24;27
2023-12-25;32
2023-12-26;70
2023-12-27;81
2023-12-28;82
2023-12-29;81
2023-12-30;35
2023-12-31;27
2024-01-01;32
2024-01-02;80
2024-01-03;82
2024-01-04;86
2024-01-05;80
2024-01-06;36
2024-01-07;28
2024-01-08;76
2024-01-09;81
2024-01-10;77
2024-01-11;82
2024-01-12;75
2024-01-13;30
2024-01-14;25
2024-01-15;47
2024-01-16;72
2024-01-17;75
2024-01-18;73
2024-01-19;83
2024-01-20;38
2024-01-21;31
2024-01-22;85
2024-01-23;83
2024-01-24;88
2024-01-25;86
2024-01-26;77
2024-01-27;31
2024-01-28;27
2024-01-29;75
2024-01-30;82
2024-01-31;84
2024-02-01;83
2024-02-02;91
2024-02-03;34
2024-02-04;35
2024-02-05;77
2024-02-06;80
2024-02-07;85
2024-02-08;87
2024-02-09;95
2024-02-10;39
2024-02-11;33
2024-02-12;83
2024-02-13;99
2024-02-14;91
2024-02-15;86
2024-02-16;88
2024-02-17;33
2024-02-18;29
2024-02-19;54
2024-02-20;78
2024-02-21;80
2024-02-22;91
2024-02-23;88
2024-02-24;36
2024-02-25;30
2024-02-26;76
2024-02-27;81
2024-02-28;78
2024-02-29;80
2024-03-01;80
2024-03-02;38
2024-03-03;30
2024-03-04;84
2024-03-05;84
2024-03-06;84
2024-03-07;84
2024-03-08;84
2024-03-09;34
2024-03-10;28
2024-03-11;77
2024-03-12;83
2024-03-13;80
2024-03-14;78
2024-03-15;72
2024-03-16;29
2024-03-17;27
2024-03-18;76
2024-03-19;80
2024-03-20;87
2024-03-21;87
2024-03-22;77
2024-03-23;33
2024-03-24;28
2024-03-25;77
2024-03-26;76
2024-03-27;85
2024-03-28;81
2024-03-29;51
2024-03-30;28
2024-03-31;30
2024-04-01;71
2024-04-02;80
2024-04-03;79
2024-04-04;85
2024-04-05;87
2024-04-06;32
2024-04-07;27
2024-04-08;73
2024-04-09;76
2024-04-10;87
2024-04-11;80
2024-04-12;82
2024-04-13;33
2024-04-14;29
2024-04-15;88
2024-04-16;91
2024-04-17;88
2024-04-18;87
2024-04-19;100
2024-04-20;34
2024-04-21;30
2024-04-22;86
2024-04-23;82
2024-04-24;82
2024-04-25;86
2024-04-26;81
2024-04-27;32
2024-04-28;26
2024-04-29;73
2024-04-30;79
2024-05-01;91
2024-05-02;78
2024-05-03;76
2024-05-04;30
2024-05-05;26
2024-05-06;76
2024-05-07;80
2024-05-08;73
2024-05-09;76
2024-05-10;78
2024-05-11;29
2024-05-12;25
2024-05-13;69
2024-05-14;74
2024-05-15;83
2024-05-16;87
2024-05-17;76
2024-05-18;33
2024-05-19;28
2024-05-20;77
2024-05-21;81
2024-05-22;75
2024-05-23;84
2024-05-24;70
2024-05-25;31
2024-05-26;25
2024-05-27;41
2024-05-28;71
2024-05-29;73
2024-05-30;77
2024-05-31;77
2024-06-01;30
2024-06-02;26
2024-06-03;76
2024-06-04;71
2024-06-05;79
2024-06-06;78
2024-06-07;78
2024-06-08;29
2024-06-09;25
2024-06-10;72
2024-06-11;74
2024-06-12;96
2024-06-13;84
2024-06-14;79
2024-06-15;31
2024-06-16;27
2024-06-17;82
2024-06-18;85
2024-06-19;59
2024-06-20;81
2024-06-21;73
2024-06-22;28
2024-06-23;27
2024-06-24;75
2024-06-25;77
2024-06-26;73
2024-06-27;72
2024-06-28;76
2024-06-29;30
2024-06-30;27
2024-07-01;72
2024-07-02;76
2024-07-03;78
2024-07-04;46
2024-07-05;69
2024-07-06;30
2024-07-07;30
2024-07-08;75
2024-07-09;79
2024-07-10;86
2024-07-11;98
2024-07-12;88
2024-07-13;33
2024-07-14;27
2024-07-15;83
2024-07-16;93
2024-07-17;99